number,value,datetime_start,datetime_complete,duration,params_activation_1,params_activation_2,params_activation_3,params_dense_dropout_0,params_dense_dropout_1,params_dense_layers,params_dense_units_0,params_dense_units_1,params_dropout_1,params_dropout_2,params_dropout_3,params_epochs,params_learning_rate,params_loss,params_optimizer,params_patience,params_return_sequences,params_units_1,params_units_2,params_units_3,params_use_attention,params_use_third_layer,params_weight_decay,state
19,0.00010159028897760436,2025-02-26 03:44:38.523951,2025-02-26 03:44:46.708899,0 days 00:00:08.184948,tanh,selu,,,,0,,,0.28235785448162487,0.29928346469807765,,43,0.00025194184079679486,huber,adam,3,False,256,192,,False,False,,COMPLETE
20,0.00015374446229543537,2025-02-26 03:44:46.710502,2025-02-26 03:44:55.842404,0 days 00:00:09.131902,tanh,selu,,,,0,,,0.29989404408122844,0.2683895625130265,,42,0.00022000771498820857,huber,adam,3,False,256,192,,False,False,,COMPLETE
21,7.266511238412932e-05,2025-02-26 03:44:55.843645,2025-02-26 03:45:14.023847,0 days 00:00:18.180202,tanh,selu,,,,0,,,0.26568567523741526,0.4425587087259517,,23,0.0009273691527342955,huber,adam,4,False,256,192,,False,False,,COMPLETE
22,0.00018806067237164825,2025-02-26 03:45:14.025044,2025-02-26 03:45:23.260531,0 days 00:00:09.235487,tanh,selu,,,,0,,,0.36701484989202465,0.45076171300923373,,24,0.0011562021905771364,huber,adam,4,False,256,192,,False,False,,COMPLETE
23,0.00011181650188518688,2025-02-26 03:45:23.261929,2025-02-26 03:45:39.402623,0 days 00:00:16.140694,tanh,selu,,,,0,,,0.26740584427659747,0.31081198280920386,,22,0.0002993440178742243,huber,adam,4,False,256,192,,False,False,,COMPLETE
24,0.00015960972814355046,2025-02-26 03:45:39.403891,2025-02-26 03:45:47.679263,0 days 00:00:08.275372,tanh,selu,,,,0,,,0.20658562419784632,0.2757439403055032,,20,0.0008796674268992402,huber,adam,3,False,256,192,,False,False,,COMPLETE
25,7.202839333331212e-05,2025-02-26 03:45:47.680505,2025-02-26 03:46:02.173856,0 days 00:00:14.493351,tanh,selu,,,,0,,,0.2839027254114591,0.5998850580701358,,44,0.0019700335508589686,huber,adam,4,False,256,192,,False,False,,COMPLETE
26,5.215207056608051e-05,2025-02-26 03:46:02.175140,2025-02-26 03:46:20.097538,0 days 00:00:17.922398,tanh,selu,,,,0,,,0.3680058434088943,0.5789489962478105,,34,0.002581347100415865,huber,adam,5,False,256,192,,False,False,,COMPLETE
27,8.083222928689793e-05,2025-02-26 03:46:20.098894,2025-02-26 03:46:32.939497,0 days 00:00:12.840603,tanh,selu,,,,0,,,0.34650801267771225,0.5947877519508782,,33,0.0026379906821903712,huber,adam,5,False,256,192,,False,False,,COMPLETE
28,0.0002549743512645364,2025-02-26 03:46:32.940845,2025-02-26 03:46:50.753282,0 days 00:00:17.812437,relu,selu,,,,0,,,0.39191154806005307,0.5837005198572349,,29,0.006543463108953991,huber,adam,4,False,128,192,,False,False,,COMPLETE
29,0.011136830784380436,2025-02-26 03:46:50.754685,2025-02-26 03:47:02.975540,0 days 00:00:12.220855,tanh,selu,,,,0,,,0.5914009216296067,0.501988686773049,,25,0.001908870901229169,mean_absolute_error,adam,5,False,256,192,,False,False,,COMPLETE
30,56.46574783325195,2025-02-26 03:47:02.976866,2025-02-26 03:47:13.169733,0 days 00:00:10.192867,tanh,selu,,,,0,,,0.2012503839553399,0.5535764409239396,,36,0.005105390245307831,huber,adam,6,False,256,192,,False,False,,COMPLETE
